OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750601_45644,Sample-Routine,Water,6/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537219,,,Dissolved oxygen (DO),7,mg/l,6/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760601_39256,Sample-Routine,Water,6/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536580,,,Dissolved oxygen (DO),6.2,mg/l,6/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760401_39274,Sample-Routine,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537261,,,Dissolved oxygen (DO),7,mg/l,4/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760901_39260,Sample-Routine,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536594,,,Dissolved oxygen (DO),6.4,mg/l,9/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760701_39258,Sample-Routine,Water,7/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536587,,,Dissolved oxygen (DO),6,mg/l,7/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760601_39278,Sample-Routine,Water,6/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537275,,,Dissolved oxygen (DO),6.4,mg/l,6/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760501_39254,Sample-Routine,Water,5/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536573,,,Dissolved oxygen (DO),6.6,mg/l,5/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761001_39284,Sample-Routine,Water,10/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537296,,,Dissolved oxygen (DO),6.2,mg/l,10/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760301_39272,Sample-Routine,Water,3/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537254,,,Dissolved oxygen (DO),7,mg/l,3/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760701_39280,Sample-Routine,Water,7/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537282,,,Dissolved oxygen (DO),6.4,mg/l,7/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761001_39262,Sample-Routine,Water,10/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536601,,,Dissolved oxygen (DO),6.3,mg/l,10/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760201_39270,Sample-Routine,Water,2/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537247,,,Dissolved oxygen (DO),8,mg/l,2/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761101_39286,Sample-Routine,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537303,,,Dissolved oxygen (DO),6.2,mg/l,11/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761101_39264,Sample-Routine,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536608,,,Dissolved oxygen (DO),6.1,mg/l,11/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760901_39282,Sample-Routine,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537289,,,Dissolved oxygen (DO),6,mg/l,9/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760501_39276,Sample-Routine,Water,5/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537268,,,Dissolved oxygen (DO),6.8,mg/l,5/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761201_39288,Sample-Routine,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537310,,,Dissolved oxygen (DO),6.1,mg/l,12/1/76,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760401_39252,Sample-Routine,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536566,,,Dissolved oxygen (DO),6.9,mg/l,4/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760301_39250,Sample-Routine,Water,3/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536559,,,Dissolved oxygen (DO),7.2,mg/l,3/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761201_39266,Sample-Routine,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536615,,,Dissolved oxygen (DO),6.2,mg/l,12/1/76,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770101_52245,Sample-Routine,Water,1/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537317,,,Dissolved oxygen (DO),5.4,mg/l,1/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770501_52236,Sample-Routine,Water,5/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536642,,,Dissolved oxygen (DO),6.7,mg/l,5/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770101_52230,Sample-Routine,Water,1/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536622,,,Dissolved oxygen (DO),6.6,mg/l,1/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770501_52251,Sample-Routine,Water,5/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537338,,,Dissolved oxygen (DO),6.5,mg/l,5/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770301_52247,Sample-Routine,Water,3/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537324,,,Dissolved oxygen (DO),6.2,mg/l,3/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770301_52232,Sample-Routine,Water,3/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536629,,,Dissolved oxygen (DO),6.2,mg/l,3/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770701_52253,Sample-Routine,Water,7/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537345,,,Dissolved oxygen (DO),6.4,mg/l,7/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19771201_52240,Sample-Routine,Water,12/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536656,,,Dissolved oxygen (DO),6,mg/l,12/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770401_52234,Sample-Routine,Water,4/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536635,,,Dissolved oxygen (DO),7.1,mg/l,4/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19771201_52255,Sample-Routine,Water,12/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537352,,,Dissolved oxygen (DO),6.5,mg/l,12/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770701_52238,Sample-Routine,Water,7/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536649,,,Dissolved oxygen (DO),6.7,mg/l,7/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770401_52249,Sample-Routine,Water,4/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537331,,,Dissolved oxygen (DO),7,mg/l,4/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780701_71398,Sample-Routine,Water,7/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537387,,,Dissolved oxygen (DO),6,mg/l,7/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780301_71357,Sample-Routine,Water,3/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536677,,,Dissolved oxygen (DO),6.3,mg/l,3/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780801_71363,Sample-Routine,Water,8/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536697,,,Dissolved oxygen (DO),5.7,mg/l,8/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780801_71400,Sample-Routine,Water,8/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537393,,,Dissolved oxygen (DO),6.4,mg/l,8/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780901_71365,Sample-Routine,Water,9/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536704,,,Dissolved oxygen (DO),6,mg/l,9/1/78,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780601_71359,Sample-Routine,Water,6/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536684,,,Dissolved oxygen (DO),6.1,mg/l,6/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780301_71394,Sample-Routine,Water,3/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537373,,,Dissolved oxygen (DO),6.3,mg/l,3/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780101_71353,Sample-Routine,Water,1/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536663,,,Dissolved oxygen (DO),6.4,mg/l,1/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780101_71390,Sample-Routine,Water,1/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537359,,,Dissolved oxygen (DO),6.4,mg/l,1/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780201_71355,Sample-Routine,Water,2/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536670,,,Dissolved oxygen (DO),6.3,mg/l,2/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780601_71396,Sample-Routine,Water,6/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537380,,,Dissolved oxygen (DO),5.8,mg/l,6/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780901_71402,Sample-Routine,Water,9/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537400,,,Dissolved oxygen (DO),6.2,mg/l,9/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780201_71392,Sample-Routine,Water,2/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537366,,,Dissolved oxygen (DO),5.8,mg/l,2/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780701_71361,Sample-Routine,Water,7/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536691,,,Dissolved oxygen (DO),6.1,mg/l,7/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19791219_61205,Sample-Routine,Water,12/19/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537482,,,Dissolved oxygen (DO),6.5,mg/l,12/19/79,21:36.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790601_61193,Sample-Routine,Water,6/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537441,,,Dissolved oxygen (DO),5.7,mg/l,6/1/79,21:36.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790201_61185,Sample-Routine,Water,2/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537414,,,Dissolved oxygen (DO),6.6,mg/l,2/1/79,21:36.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790901_61171,Sample-Routine,Water,9/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536766,,,Dissolved oxygen (DO),6.6,mg/l,9/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790701_61195,Sample-Routine,Water,7/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537448,,,Dissolved oxygen (DO),6.2,mg/l,7/1/79,21:36.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19791219_61177,Sample-Routine,Water,12/19/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536785,,,Dissolved oxygen (DO),6.3,mg/l,12/19/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790201_61157,Sample-Routine,Water,2/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536718,,,Dissolved oxygen (DO),6.6,mg/l,2/1/79,21:29.0,STORET
