OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760401_39274,Sample-Routine,4/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761101_39264,Sample-Routine,11/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760901_39282,Sample-Routine,9/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760301_39250,Sample-Routine,3/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760701_39280,Sample-Routine,7/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760901_39260,Sample-Routine,9/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761201_39288,Sample-Routine,12/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760601_39278,Sample-Routine,6/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761201_39266,Sample-Routine,12/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760501_39276,Sample-Routine,5/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760501_39254,Sample-Routine,5/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760201_39270,Sample-Routine,2/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760701_39258,Sample-Routine,7/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760401_39252,Sample-Routine,4/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760201_39248,Sample-Routine,2/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760601_39256,Sample-Routine,6/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770101_52245,Sample-Routine,1/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770401_52249,Sample-Routine,4/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770501_52251,Sample-Routine,5/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770101_52230,Sample-Routine,1/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770501_52236,Sample-Routine,5/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770701_52253,Sample-Routine,7/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19771201_52255,Sample-Routine,12/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19771201_52240,Sample-Routine,12/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770301_52247,Sample-Routine,3/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770701_52238,Sample-Routine,7/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,1,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770301_52232,Sample-Routine,3/1/77,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780101_71390,Sample-Routine,1/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,28,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780701_71398,Sample-Routine,7/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780601_71396,Sample-Routine,6/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780101_71353,Sample-Routine,1/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780901_71365,Sample-Routine,9/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780301_71357,Sample-Routine,3/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780601_71359,Sample-Routine,6/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780901_71402,Sample-Routine,9/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780301_71394,Sample-Routine,3/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780701_71361,Sample-Routine,7/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780201_71355,Sample-Routine,2/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780801_71400,Sample-Routine,8/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780801_71363,Sample-Routine,8/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780201_71392,Sample-Routine,2/1/78,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790701_61167,Sample-Routine,7/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19791101_61175,Sample-Routine,11/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790401_61161,Sample-Routine,4/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790101_61155,Sample-Routine,1/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790901_61171,Sample-Routine,9/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,7,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19791001_61201,Sample-Routine,10/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790501_61163,Sample-Routine,5/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790501_61191,Sample-Routine,5/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790601_61193,Sample-Routine,6/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790301_61159,Sample-Routine,3/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790801_61197,Sample-Routine,8/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790401_61189,Sample-Routine,4/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790201_61157,Sample-Routine,2/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19791219_61205,Sample-Routine,12/19/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790801_61169,Sample-Routine,8/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790901_61199,Sample-Routine,9/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,4,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19791101_61203,Sample-Routine,11/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790101_61183,Sample-Routine,1/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790201_61185,Sample-Routine,2/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790601_61165,Sample-Routine,6/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790301_61187,Sample-Routine,3/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19791219_61177,Sample-Routine,12/19/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19791001_61173,Sample-Routine,10/1/79,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
