OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0004Sur_SW_20091019_10:13,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0004,Inside reef off Buck Island,17.7825,-64.6228,STORET-61664384,,as N,Nitrogen,0.0563,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_2009921_14:43,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61664243,,as N,Nitrogen,0.22,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_20091019_13:09,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61664358,,as N,Nitrogen,0.18,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_20091110_10:00,Sample-Routine,Water,11/10/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61663245,,as N,Nitrogen,0.0466,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_QW_20091110_8:59,Quality Control Field Replicate Msr/Obs,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61662104,,as N,Nitrogen,0.17,mg/l,,05:05.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_20091110_10:45,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61663316,,as N,Nitrogen,0.12,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_2009921_11:42,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664140,,as N,Nitrogen,0.0358,mg/l,,05:29.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_2009921_11:42,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664139,,as N,Nitrogen,0.36,mg/l,,05:29.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091230_9:18,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61663873,,as N,Nitrogen,0.0249,mg/l,,05:26.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_QW_2009921_12:55,Quality Control Sample-Field Replicate,Water,9/21/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61664294,,as N,Nitrogen,0.0493,mg/l,,05:32.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_2009921_12:22,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664166,,as N,Nitrogen,0.0996,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_20091019_11:56,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61664409,,as N,Nitrogen,0.21,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_2009921_13:33,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61664191,,as N,Nitrogen,0.2,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091230_9:06,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61663855,,as N,Nitrogen,0.0293,mg/l,,05:26.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_2009921_14:08,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61664257,,as N,Nitrogen,0.0458,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_20091019_13:09,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61664359,,as N,Nitrogen,0.0234,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091019_10:50,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61664422,,as N,Nitrogen,0.23,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091110_10:24,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61663425,,as N,Nitrogen,0.0222,mg/l,,05:22.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0004Sur_SW_20091110_8:31,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0004,Inside reef off Buck Island,17.7825,-64.6228,STORET-61663335,,as N,Nitrogen,0.0248,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_20091019_11:18,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61664370,,as N,Nitrogen,0.19,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091019_11:03,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61664435,,as N,Nitrogen,0.18,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_2009921_13:49,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61664205,,as N,Nitrogen,0.038,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091019_10:50,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61664423,,as N,Nitrogen,0.0266,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_2009921_12:03,Sample-Routine,Water,9/21/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61664152,,as N,Nitrogen,0.19,mg/l,,05:29.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_20091019_11:18,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61664371,,as N,Nitrogen,0.0298,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_20091110_10:12,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61663262,,as N,Nitrogen,0.23,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_20091230_10:34,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61663746,,as N,Nitrogen,0.19,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_20091110_9:29,Sample-Routine,Water,11/10/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61663281,,as N,Nitrogen,0.0357,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_20091110_8:59,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61663388,,as N,Nitrogen,0.15,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_QW_20091110_8:59,Quality Control Field Replicate Msr/Obs,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61662105,,as N,Nitrogen,0.03972,mg/l,,05:05.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0004Sur_SW_20091230_10:25,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0004,Inside reef off Buck Island,17.7825,-64.6228,STORET-61663782,,as N,Nitrogen,0.17,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_20091230_10:05,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61663675,,as N,Nitrogen,0.0422,mg/l,,05:24.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091019_12:41,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61664397,,as N,Nitrogen,0.0292,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0004Sur_SW_20091230_10:25,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0004,Inside reef off Buck Island,17.7825,-64.6228,STORET-61663783,,as N,Nitrogen,0.0484,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_2009921_15:13,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61664218,,as N,Nitrogen,0.0205,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_QW_20091019_12:12,Quality Control Sample-Field Replicate,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664461,,as N,Nitrogen,0.16,mg/l,,05:35.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091110_10:37,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61663406,,as N,Nitrogen,0.12,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_20091110_9:47,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61663299,,as N,Nitrogen,0.0488,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091110_10:37,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61663407,,as N,Nitrogen,0.034,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_20091230_10:43,Sample-Routine,Water,12/30/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61663728,,as N,Nitrogen,0.17,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091019_11:03,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61664436,,as N,Nitrogen,0.0196,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_QW_20091019_12:12,Quality Control Sample-Field Replicate,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664462,,as N,Nitrogen,0.0283,mg/l,,05:35.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_2009921_12:22,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664165,,as N,Nitrogen,0.27,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_20091019_12:12,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664307,,as N,Nitrogen,0.0356,mg/l,,05:32.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_20091019_12:12,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61664306,,as N,Nitrogen,0.18,mg/l,,05:32.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_20091019_11:32,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664332,,as N,Nitrogen,0.27,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_20091019_12:56,Sample-Routine,Water,10/19/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61664345,,as N,Nitrogen,0.15,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_2009921_14:20,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61664269,,as N,Nitrogen,0.27,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091110_10:24,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61663424,,as N,Nitrogen,0.12,mg/l,,05:22.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_20091110_9:12,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61663227,,as N,Nitrogen,0.0344,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_20091230_10:13,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61663836,,as N,Nitrogen,0.2,mg/l,,05:26.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091019_12:41,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61664396,,as N,Nitrogen,0.19,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_20091230_10:00,Sample-Routine,Water,12/30/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61663692,,as N,Nitrogen,0.18,mg/l,,05:24.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_20091230_9:42,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61663764,,as N,Nitrogen,0.17,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0004Sur_SW_2009921_15:02,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0004,Inside reef off Buck Island,17.7825,-64.6228,STORET-61662611,,as N,Nitrogen,0.21,mg/l,,05:13.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091230_9:52,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61663800,,as N,Nitrogen,0.2,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_20091019_11:32,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664333,,as N,Nitrogen,0.0403,mg/l,,05:33.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_20091230_9:06,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61663854,,as N,Nitrogen,0.25,mg/l,,05:26.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091110_8:42,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61663353,,as N,Nitrogen,0.0438,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_SW_20091230_9:32,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61663711,,as N,Nitrogen,0.0218,mg/l,,05:24.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_20091019_11:56,Sample-Routine,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61664410,,as N,Nitrogen,0.0353,mg/l,,05:34.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_20091019_11:45,Sample-Routine,Water,10/19/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61664319,,as N,Nitrogen,0.22,mg/l,,05:32.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_QW_20091110_9:26,Quality Control Field Replicate Msr/Obs,Water,11/10/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61662128,,as N,Nitrogen,0.12,mg/l,,05:05.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_QW_20091019_11:32,Quality Control Sample-Field Replicate,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664448,,as N,Nitrogen,0.18,mg/l,,05:35.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_20091230_10:43,Sample-Routine,Water,12/30/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61663729,,as N,Nitrogen,0.0529,mg/l,,05:25.0,STORET
