"","Site","Lat","Lon","Nitrogen_mean","Nitrogen_max","Nitrogen_min","Nitrogen_mean_monthly_range","Nitrogen_mean_yearly_range"
"24","HOVENSA East Turning Basin, NW Corner",17.7001,-64.74868,0.560666666666667,0.79,0.32,0.165,0.114
"25","HOVENSA West Turning Basin, NE Corner",17.7,-64.75098,0.393529411764706,0.45,0.28,0.0533333333333333,0.066
"26","Inshore off Green Cay Beach",17.763,-64.6628,0.112870909090909,0.34,0.03288,0.170855,0.30712
"27","Jack Bay, Forereef",17.74613,-64.5799,0.43,0.55,0.28,0.136666666666667,0.15
"28","Krause Lagoon Channel",17.69368,-64.76279,0.3,0.47,0.2,0.0733333333333333,0.092
"29","Lagoon Recreation Beach",17.75348,-64.69495,0.3575,0.56,0.26,0.116666666666667,0.144
"30","LBJ (Pump Station) Outfall",17.75938,-64.71495,0.328333333333333,0.41,0.22,0.0783333333333333,0.08
"31","Limetree Bay Container Port",17.69658,-64.75582,0.46,0.65,0.18,0.15,0.128
"32","Long Point Bay",17.6809,-64.84381,0.229230769230769,0.44,0.09,0.09,0.084
"33","Long Reef Back Reef East",17.75378,-64.70412,0.374705882352941,0.56,0.25,0.075,0.162
"34","Long Reef Back Reef West",17.75947,-64.72392,0.414,0.53,0.33,0.0433333333333333,0.11
"35","Long Reef Forereef East",17.76028,-64.70103,0.29375,0.55,0.16,0.136666666666667,0.132
"36","Long Reef Forereef West",17.76478,-64.7296,0.467333333333333,0.61,0.29,0.0966666666666667,0.108
"37","Manchenil  Bay",17.70361,-64.70581,0.483333333333333,0.74,0.31,0.103333333333333,0.224
"38","Mill Harbor Condominium Beach",17.75565,-64.72023,0.416,0.54,0.34,0.0616666666666667,0.072
"39","Protestant Cay Beach",17.74927,-64.70378,0.431333333333333,0.62,0.34,0.075,0.124
"40","Public Dump",17.69459,-64.78365,0.312666666666667,0.43,0.15,0.06,0.092
"41","Public Wharf",17.74752,-64.70342,0.403333333333333,0.52,0.29,0.06,0.108
"42","Reef Club Beach",17.75715,-64.60885,0.500625,0.67,0.27,0.143333333333333,0.122
"43","Robin Bay",17.72259,-64.63396,0.411333333333333,0.59,0.3,0.0766666666666667,0.122
"44","Rum Plant (VI Rum) Outfall",17.67998,-64.82256,0.284666666666667,0.65,0.18,0.1,0.192
"45","Salt River (Columbus  Landing  Beach)",17.77992,-64.7586,0.330666666666667,0.48,0.24,0.07,0.074
"46","Salt River Bay",17.77513,-64.758,0.31375,0.46,0.18,0.0866666666666667,0.098
"47","Salt River Marina",17.77517,-64.76183,0.345,0.72,0.22,0.143333333333333,0.118
"48","Spoils Island (Ruth Island)",17.68545,-64.76471,0.335,0.46,0.16,0.085,0.148
"49","Sprat Hall Beach",17.7356,-64.89095,0.455533333333333,0.6,0.383,0.0811666666666667,0.0794
"50","St. Croix by the Sea",17.76739,-64.73452,0.314,0.45,0.22,0.0683333333333333,0.114
"51","St. Croix Marine",17.74822,-64.69848,0.427333333333333,0.58,0.3,0.113333333333333,0.088
"52","St. Croix Yacht Club Beach",17.75565,-64.60233,0.500714285714286,0.62,0.33,0.0666666666666667,0.185
"53","Tamarind Reef Lagoon",17.76152,-64.66929,0.248,0.32,0.17,0.035,0.058
"54","Treatment Plant (POTW) Outfall",17.67218,-64.77294,0.503529411764706,0.68,0.25,0.131666666666667,0.198
"55","WAPA Intake",17.75073,-64.71278,0.414,0.61,0.37,0.0516666666666667,0.056
"56","Water Gut Storm Drain",17.74746,-64.7073,0.412,0.51,0.29,0.0416666666666667,0.114
