OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750801_45647,Field Msr/Obs,Water,8/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537228,,,"Depth, Secchi disk depth",4.5,m,8/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760601_39255,Field Msr/Obs,Water,6/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536575,,,"Depth, Secchi disk depth",6,m,6/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760501_39275,Field Msr/Obs,Water,5/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537263,,,"Depth, Secchi disk depth",4.5,m,5/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760901_39259,Field Msr/Obs,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536589,,,"Depth, Secchi disk depth",6,m,9/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760901_39281,Field Msr/Obs,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537284,,,"Depth, Secchi disk depth",4.5,m,9/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760301_39249,Field Msr/Obs,Water,3/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536554,,,"Depth, Secchi disk depth",6,m,3/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760501_39253,Field Msr/Obs,Water,5/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536568,,,"Depth, Secchi disk depth",6,m,5/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760401_39273,Field Msr/Obs,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537256,,,"Depth, Secchi disk depth",4.5,m,4/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760701_39257,Field Msr/Obs,Water,7/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536582,,,"Depth, Secchi disk depth",6,m,7/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760601_39277,Field Msr/Obs,Water,6/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537270,,,"Depth, Secchi disk depth",4.5,m,6/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761001_39261,Field Msr/Obs,Water,10/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536596,,,"Depth, Secchi disk depth",6,m,10/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760701_39279,Field Msr/Obs,Water,7/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537277,,,"Depth, Secchi disk depth",4.5,m,7/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760201_39247,Field Msr/Obs,Water,2/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536548,,,"Depth, Secchi disk depth",6,m,2/1/76,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760301_39271,Field Msr/Obs,Water,3/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537249,,,"Depth, Secchi disk depth",4.5,m,3/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761101_39285,Field Msr/Obs,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537298,,,"Depth, Secchi disk depth",4.5,m,11/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760201_39269,Field Msr/Obs,Water,2/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537242,,,"Depth, Secchi disk depth",4.5,m,2/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761201_39287,Field Msr/Obs,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537305,,,"Depth, Secchi disk depth",4.5,m,12/1/76,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761001_39283,Field Msr/Obs,Water,10/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537291,,,"Depth, Secchi disk depth",4.5,m,10/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760401_39251,Field Msr/Obs,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536561,,,"Depth, Secchi disk depth",6,m,4/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761101_39263,Field Msr/Obs,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536603,,,"Depth, Secchi disk depth",6,m,11/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761201_39265,Field Msr/Obs,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536610,,,"Depth, Secchi disk depth",6,m,12/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770401_52248,Field Msr/Obs,Water,4/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537326,,,"Depth, Secchi disk depth",4.5,m,4/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770701_52252,Field Msr/Obs,Water,7/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537340,,,"Depth, Secchi disk depth",4.5,m,7/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770101_52229,Field Msr/Obs,Water,1/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536617,,,"Depth, Secchi disk depth",6,m,1/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770501_52250,Field Msr/Obs,Water,5/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537333,,,"Depth, Secchi disk depth",4.5,m,5/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770701_52237,Field Msr/Obs,Water,7/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536644,,,"Depth, Secchi disk depth",6,m,7/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770301_52246,Field Msr/Obs,Water,3/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537319,,,"Depth, Secchi disk depth",4.5,m,3/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770501_52235,Field Msr/Obs,Water,5/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536637,,,"Depth, Secchi disk depth",6,m,5/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770401_52233,Field Msr/Obs,Water,4/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536631,,,"Depth, Secchi disk depth",6,m,4/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19771201_52239,Field Msr/Obs,Water,12/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536651,,,"Depth, Secchi disk depth",6,m,12/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19771201_52254,Field Msr/Obs,Water,12/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537347,,,"Depth, Secchi disk depth",4.5,m,12/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19770301_52231,Field Msr/Obs,Water,3/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536624,,,"Depth, Secchi disk depth",6,m,3/1/77,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19770101_52244,Field Msr/Obs,Water,1/1/77,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537312,,,"Depth, Secchi disk depth",4.5,m,1/1/77,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780201_71354,Field Msr/Obs,Water,2/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536665,,,"Depth, Secchi disk depth",6,m,2/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780301_71356,Field Msr/Obs,Water,3/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536672,,,"Depth, Secchi disk depth",6,m,3/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780601_71395,Field Msr/Obs,Water,6/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537375,,,"Depth, Secchi disk depth",4.5,m,6/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780101_71389,Field Msr/Obs,Water,1/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537354,,,"Depth, Secchi disk depth",4.5,m,1/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780301_71393,Field Msr/Obs,Water,3/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537368,,,"Depth, Secchi disk depth",4.5,m,3/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780701_71397,Field Msr/Obs,Water,7/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537382,,,"Depth, Secchi disk depth",4.5,m,7/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780601_71358,Field Msr/Obs,Water,6/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536679,,,"Depth, Secchi disk depth",6,m,6/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780901_71401,Field Msr/Obs,Water,9/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537395,,,"Depth, Secchi disk depth",4.5,m,9/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780801_71399,Field Msr/Obs,Water,8/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537389,,,"Depth, Secchi disk depth",4.5,m,8/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780901_71364,Field Msr/Obs,Water,9/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536699,,,"Depth, Secchi disk depth",6,m,9/1/78,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780701_71360,Field Msr/Obs,Water,7/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536686,,,"Depth, Secchi disk depth",6,m,7/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780101_71352,Field Msr/Obs,Water,1/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536658,,,"Depth, Secchi disk depth",6,m,1/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19780201_71391,Field Msr/Obs,Water,2/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537361,,,"Depth, Secchi disk depth",4.5,m,2/1/78,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19780801_71362,Field Msr/Obs,Water,8/1/78,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536693,,,"Depth, Secchi disk depth",6,m,8/1/78,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790101_61154,Field Msr/Obs,Water,1/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536706,,,"Depth, Secchi disk depth",6,m,1/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790301_61158,Field Msr/Obs,Water,3/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536720,,,"Depth, Secchi disk depth",6,m,3/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790901_61170,Field Msr/Obs,Water,9/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536761,,,"Depth, Secchi disk depth",6,m,9/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19791101_61174,Field Msr/Obs,Water,11/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536774,,,"Depth, Secchi disk depth",6,m,11/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19790401_61160,Field Msr/Obs,Water,4/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536726,,,"Depth, Secchi disk depth",6,m,4/1/79,21:29.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19790601_61192,Field Msr/Obs,Water,6/1/79,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537436,,,"Depth, Secchi disk depth",4.5,m,6/1/79,21:36.0,STORET
